t,AcX,AcY,AcZ,GyX,GyY,GyZ
19.287,-0.958,-0.102,-0.151,-1.244,-0.176,-2.153
19.34,-0.947,-0.076,-0.127,-1.855,-1.412,-0.252
19.393,-0.948,-0.102,-0.118,-0.313,-0.672,3.275
19.444,-0.944,-0.084,-0.135,-1.985,-1.802,-2.702
19.498,-0.97,-0.027,-0.138,-2.29,-0.641,-6.87
19.551,-0.941,-0.091,-0.134,0.031,-1.893,2.397
19.602,-0.938,-0.079,-0.119,0.672,-0.527,2.855
19.652,-0.942,-0.085,-0.138,0.389,-0.573,4.359
19.703,-0.962,-0.107,-0.15,-2.847,0.695,1.725
19.755,-0.915,-0.066,-0.127,-3.702,-0.58,4.656
19.807,-0.971,-0.079,-0.131,-3.305,-0.412,-0.588
19.86,-0.974,-0.106,-0.135,-3.405,-1.878,-3.023
19.912,-0.959,-0.074,-0.142,-2.58,-1.008,-0.298
19.965,-0.958,-0.08,-0.133,-4.893,-0.427,-2.344
20.019,-0.949,-0.064,-0.127,-1.466,-0.71,-0.183
20.072,-0.949,-0.086,-0.146,-1.298,-0.885,1.954
20.124,-0.958,-0.06,-0.121,-2,-0.26,1.481
20.175,-0.942,-0.063,-0.136,-2.664,0.641,3.076
20.227,-0.933,-0.073,-0.156,-0.809,-0.489,4.756
20.279,-0.948,-0.043,-0.128,-2.366,0.168,2.603
20.33,-0.946,-0.063,-0.14,-3.87,0.947,-2.725
20.381,-0.936,-0.061,-0.151,-2.824,0.924,0.931
20.432,-0.94,-0.061,-0.14,-3.42,-0.145,-2.29
20.486,-0.947,-0.059,-0.149,-2.611,0.115,1.038
20.537,-0.926,-0.053,-0.147,-3.473,0.45,-0.824
20.588,-0.951,-0.056,-0.137,-2.443,-0.183,-0.412
20.641,-0.971,-0.065,-0.148,-2.679,-0.275,-0.053
20.695,-0.946,-0.068,-0.146,-3.099,0.359,0.679
20.746,-0.948,-0.055,-0.137,-3.282,2.473,-2.42
20.798,-0.948,-0.062,-0.161,-0.756,1.313,0.687
20.848,-0.957,-0.057,-0.156,-0.947,1.122,2.55
20.899,-0.944,-0.065,-0.159,-1.405,0.389,2.221
20.951,-0.928,-0.053,-0.173,-2.45,1,-0.344
21.003,-0.948,-0.046,-0.155,-3.863,0.794,0.443
21.053,-0.945,-0.069,-0.161,-3.954,0.351,0.824
21.104,-0.959,-0.062,-0.146,-2.885,-0.489,1.26
21.156,-0.95,-0.068,-0.161,-3.794,0.183,-0.664
21.209,-0.932,-0.056,-0.163,-3.397,-0.87,-0.87
21.262,-0.965,-0.063,-0.152,-2.359,-0.115,0.382
21.313,-0.935,-0.053,-0.183,-1.985,-0.252,3.649
21.365,-0.947,-0.047,-0.164,-0.916,-0.405,0.107
21.418,-0.95,-0.038,-0.151,-2.664,0.107,-2.305
21.47,-0.932,-0.053,-0.169,-3.366,-0.794,0.664
21.522,-0.926,-0.047,-0.151,-2.977,0.122,-0.817
21.573,-0.949,-0.069,-0.181,-1.916,-1.405,0.427
21.625,-0.961,-0.04,-0.143,-3.496,-1.511,0.198
