t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
2.284,0.0117,0.0000,0.0742,3,0.1702,0.9031,0.1541,-0.3628,2,0.1628,
2.295,0.0117,0.0000,0.0742,3,0.1701,0.9031,0.1540,-0.3629,2,0.1628,
2.307,0.0313,-0.0586,-0.0703,3,0.1701,0.9031,0.1540,-0.3629,2,0.1628,
2.318,0.0313,-0.0586,-0.0703,3,0.1700,0.9032,0.1538,-0.3630,2,0.1631,
2.328,0.0313,-0.0586,-0.0703,3,0.1699,0.9031,0.1537,-0.3630,2,0.1631,
2.338,0.0313,-0.0586,-0.0703,3,0.1698,0.9032,0.1534,-0.3631,2,0.1621,
2.350,0.0313,-0.0586,-0.0703,3,0.1697,0.9033,0.1532,-0.3632,2,0.1611,
2.361,0.0313,-0.0586,-0.0703,3,0.1696,0.9033,0.1529,-0.3633,2,0.1602,
2.372,0.0664,0.0625,-0.0742,3,0.1696,0.9033,0.1529,-0.3633,2,0.1602,
2.383,0.0664,0.0625,-0.0742,3,0.1692,0.9033,0.1522,-0.3638,2,0.1594,
2.395,0.0664,0.0625,-0.0742,3,0.1691,0.9033,0.1518,-0.3641,2,0.1589,
2.406,0.0742,0.0625,0.1406,3,0.1691,0.9033,0.1518,-0.3641,2,0.1589,
2.417,0.0742,0.0625,0.1406,3,0.1689,0.9031,0.1510,-0.3648,2,0.1565,
2.427,0.0742,0.0625,0.1406,3,0.1688,0.9031,0.1509,-0.3650,2,0.1558,
2.439,0.0742,0.0625,0.1406,3,0.1689,0.9030,0.1507,-0.3652,2,0.1550,
2.449,0.0742,0.0625,0.1406,3,0.1690,0.9029,0.1507,-0.3654,2,0.1541,
2.460,0.0742,0.0625,0.1406,3,0.1691,0.9029,0.1506,-0.3655,2,0.1533,
2.471,0.0000,0.0117,-0.2344,3,0.1691,0.9029,0.1506,-0.3655,2,0.1533,
2.483,0.0000,0.0117,-0.2344,3,0.1693,0.9028,0.1505,-0.3655,2,0.1511,
2.494,0.0000,0.0117,-0.2344,3,0.1694,0.9028,0.1503,-0.3655,2,0.1501,
2.504,-0.0391,-0.0039,0.0391,3,0.1694,0.9028,0.1503,-0.3655,2,0.1501,
2.515,-0.1094,-0.0156,-0.1094,3,0.1694,0.9028,0.1503,-0.3655,2,0.1501,
2.527,-0.1094,-0.0156,-0.1094,3,0.1697,0.9029,0.1503,-0.3652,2,0.1475,
2.537,-0.1094,-0.0156,-0.1094,3,0.1698,0.9030,0.1504,-0.3650,2,0.1475,
2.548,-0.1094,-0.0156,-0.1094,3,0.1698,0.9030,0.1505,-0.3649,2,0.1477,
2.558,-0.1094,-0.0156,-0.1094,3,0.1698,0.9030,0.1506,-0.3647,2,0.1470,
2.570,-0.1094,-0.0156,-0.1094,3,0.1699,0.9031,0.1506,-0.3646,2,0.1462,
2.580,0.0703,-0.0664,0.0234,3,0.1699,0.9031,0.1506,-0.3646,2,0.1462,
2.591,0.0703,-0.0664,0.0313,3,0.1699,0.9031,0.1506,-0.3646,2,0.1462,
2.603,0.0703,-0.0664,0.0313,3,0.1699,0.9031,0.1508,-0.3644,2,0.1436,
2.613,0.0703,-0.0664,0.0313,3,0.1699,0.9031,0.1506,-0.3644,2,0.1428,
2.623,0.0703,-0.0664,0.0313,3,0.1699,0.9031,0.1505,-0.3645,2,0.1418,
2.634,0.0703,-0.0664,0.0313,3,0.1700,0.9031,0.1504,-0.3645,2,0.1416,
2.646,0.0313,0.0313,0.0781,3,0.1700,0.9031,0.1504,-0.3645,2,0.1416,
2.657,0.0313,0.0313,0.0781,3,0.1702,0.9031,0.1506,-0.3644,2,0.1418,
2.667,0.0313,0.0313,0.0781,3,0.1702,0.9031,0.1506,-0.3643,2,0.1418,
2.678,0.0313,0.0313,0.0781,3,0.1702,0.9031,0.1507,-0.3643,2,0.1421,
2.689,0.0313,0.0313,0.0781,3,0.1702,0.9031,0.1508,-0.3642,2,0.1421,
2.700,0.0313,0.0313,0.0781,3,0.1703,0.9031,0.1509,-0.3641,2,0.1416,
2.711,0.0078,-0.0078,-0.0352,3,0.1703,0.9031,0.1509,-0.3641,2,0.1416,
2.722,0.0078,-0.0078,-0.0352,3,0.1702,0.9032,0.1511,-0.3639,2,0.1411,
2.733,0.0078,-0.0078,-0.0352,3,0.1702,0.9032,0.1511,-0.3639,2,0.1409,
2.744,0.0078,-0.0078,-0.0352,3,0.1702,0.9032,0.1511,-0.3639,2,0.1404,
2.754,0.0039,0.0469,0.0938,3,0.1702,0.9032,0.1511,-0.3639,2,0.1404,
2.765,-0.0117,0.0703,0.1094,3,0.1702,0.9032,0.1511,-0.3639,2,0.1404,
2.777,-0.0117,0.0703,0.1094,3,0.1704,0.9031,0.1510,-0.3642,3,0.1377,
2.788,-0.0117,0.0703,0.1094,3,0.1705,0.9030,0.1509,-0.3643,3,0.1372,
2.798,-0.0117,0.0703,0.1094,3,0.1705,0.9030,0.1509,-0.3644,3,0.1367,
2.808,-0.0117,0.0703,0.1094,3,0.1704,0.9030,0.1508,-0.3646,3,0.1362,
2.820,-0.0117,0.0703,0.1094,3,0.1704,0.9030,0.1507,-0.3646,3,0.1362,
2.831,0.0117,-0.0195,0.0078,3,0.1704,0.9030,0.1507,-0.3646,3,0.1362,
2.842,0.0117,-0.0195,0.0078,3,0.1704,0.9029,0.1503,-0.3649,3,0.1365,
2.852,0.0117,-0.0195,0.0078,3,0.1704,0.9028,0.1503,-0.3650,3,0.1365,
2.864,0.0117,-0.0195,0.0078,3,0.1703,0.9029,0.1505,-0.3649,3,0.1367,
2.876,0.0742,0.0156,0.0664,3,0.1703,0.9029,0.1505,-0.3649,3,0.1367,
2.886,0.0742,0.0156,0.0664,3,0.1703,0.9029,0.1506,-0.3648,3,0.1360,
2.897,0.0742,0.0156,0.0664,3,0.1703,0.9029,0.1505,-0.3649,3,0.1355,
2.908,0.0742,0.0156,0.0664,3,0.1702,0.9029,0.1502,-0.3650,3,0.1350,
2.918,0.0742,0.0156,0.0664,3,0.1701,0.9029,0.1500,-0.3652,3,0.1350,
2.928,0.0742,0.0156,0.0664,3,0.1700,0.9028,0.1498,-0.3654,3,0.1350,
2.938,-0.0117,0.0391,0.0898,3,0.1700,0.9028,0.1498,-0.3654,3,0.1350,
2.951,0.0156,0.0156,0.0664,3,0.1700,0.9028,0.1498,-0.3654,3,0.1350,
2.961,0.0156,0.0156,0.0664,3,0.1701,0.9027,0.1497,-0.3657,3,0.1355,
