t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
3.013,-0.0703,0.1914,-0.3711,3,0.3553,0.8027,0.4335,-0.2034,3,0.0623,
3.024,-0.0703,0.1914,-0.3711,3,0.3613,0.8005,0.4305,-0.2079,3,0.0623,
3.037,-4.7031,1.6445,2.2344,3,0.3613,0.8005,0.4305,-0.2079,3,0.0623,
3.048,-4.7031,1.6445,2.2344,3,0.3724,0.7992,0.4208,-0.2135,3,0.0623,
3.058,-4.7031,1.6445,2.2344,3,0.3772,0.7979,0.4169,-0.2177,3,0.0623,
3.068,1.0703,-0.7891,-0.8555,3,0.3772,0.7979,0.4169,-0.2177,3,0.0623,
3.080,0.7344,-0.2031,-0.1016,3,0.3772,0.7979,0.4169,-0.2177,3,0.0623,
3.091,0.7344,-0.2031,-0.1016,3,0.3926,0.7928,0.4054,-0.2302,3,0.0620,
3.102,0.7344,-0.2031,-0.1016,3,0.3981,0.7901,0.4022,-0.2356,3,0.0623,
3.112,0.7344,-0.2031,-0.1016,3,0.4056,0.7855,0.3995,-0.2429,3,0.0623,
3.125,0.7344,-0.2031,-0.1016,3,0.4149,0.7797,0.3960,-0.2515,3,0.0625,
3.136,-0.3047,0.4297,-0.1055,3,0.4149,0.7797,0.3960,-0.2515,3,0.0625,
3.147,-0.3047,0.4297,-0.1055,3,0.4333,0.7740,0.3736,-0.2711,3,0.0627,
3.158,-0.3047,0.4297,-0.1055,3,0.4389,0.7719,0.3680,-0.2758,3,0.0630,
3.168,-0.3047,0.4297,-0.1055,3,0.4433,0.7703,0.3632,-0.2795,3,0.0630,
3.179,-0.3047,0.4297,-0.1055,3,0.4472,0.7694,0.3575,-0.2833,3,0.0630,
3.190,0.2617,0.4570,0.2695,3,0.4472,0.7694,0.3575,-0.2833,3,0.0630,
3.201,0.2617,0.4570,0.2695,3,0.4588,0.7675,0.3382,-0.2935,3,0.0630,
3.211,0.2617,0.4570,0.2695,3,0.4662,0.7653,0.3287,-0.2980,3,0.0632,
3.222,0.2617,0.4570,0.2695,3,0.4769,0.7615,0.3171,-0.3035,3,0.0635,
3.232,0.2617,0.4570,0.2695,3,0.4914,0.7552,0.3038,-0.3096,3,0.0637,
