t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
3.085,-0.0469,0.0664,-0.0273,3,0.1764,0.9123,0.1258,-0.3475,2,0.1948,
3.095,0.0039,0.0039,-0.0352,3,0.1764,0.9123,0.1258,-0.3475,2,0.1948,
3.106,0.0039,0.0039,-0.0352,3,0.1766,0.9122,0.1258,-0.3478,2,0.1951,
3.118,0.0039,0.0039,-0.0352,3,0.1769,0.9120,0.1255,-0.3481,2,0.1951,
3.128,0.0039,0.0039,-0.0352,3,0.1774,0.9117,0.1252,-0.3488,2,0.1953,
3.138,0.0039,0.0039,-0.0352,3,0.1779,0.9114,0.1249,-0.3495,2,0.1953,
3.149,0.0039,0.0039,-0.0352,3,0.1785,0.9110,0.1244,-0.3503,2,0.1953,
3.161,-0.0273,-0.1016,0.0703,3,0.1785,0.9110,0.1244,-0.3503,2,0.1953,
3.172,-0.0273,-0.1016,0.0703,3,0.1796,0.9102,0.1237,-0.3520,2,0.1956,
3.182,-0.0273,-0.1016,0.0703,3,0.1799,0.9101,0.1237,-0.3523,2,0.1956,
3.193,-0.0273,-0.1016,0.0703,3,0.1800,0.9100,0.1237,-0.3525,2,0.1956,
3.205,0.1563,-0.0742,0.0586,3,0.1800,0.9100,0.1237,-0.3525,2,0.1956,
3.216,0.1758,0.0430,0.0117,3,0.1800,0.9100,0.1237,-0.3525,2,0.1956,
3.226,0.1758,0.0430,0.0117,3,0.1804,0.9097,0.1234,-0.3531,2,0.1958,
3.237,0.1758,0.0430,0.0117,3,0.1805,0.9097,0.1234,-0.3531,2,0.1960,
