t,AcX,AcY,AcZ,GyX,GyY,GyZ
12.124,-0.568,-0.074,-0.929,-2.847,-1.137,-1.634
12.177,-0.569,-0.067,-0.931,-2.947,-0.74,0.489
12.229,-0.565,-0.068,-0.93,-2.824,-0.962,-0.496
12.282,-0.566,-0.068,-0.937,-2.893,-0.893,-0.504
12.335,-0.571,-0.064,-0.935,-2.962,-0.977,-0.557
12.388,-0.573,-0.06,-0.936,-2.756,-0.908,-0.534
12.441,-0.56,-0.069,-0.926,-2.641,-0.985,-0.267
12.494,-0.571,-0.068,-0.933,-2.649,-0.863,-0.069
12.548,-0.569,-0.07,-0.939,-3.13,-1.427,-1.969
12.6,-0.569,-0.071,-0.938,-2.756,-0.557,0.649
12.652,-0.575,-0.071,-0.93,-2.771,-1,-0.588
12.705,-0.569,-0.065,-0.941,-2.702,-0.947,-0.496
12.759,-0.568,-0.068,-0.929,-2.809,-0.809,-0.504
12.812,-0.568,-0.061,-0.924,-2.969,-1.092,-0.611
12.864,-0.574,-0.067,-0.928,-2.611,-0.542,0.076
12.916,-0.568,-0.066,-0.936,-2.84,-0.832,0.031
12.968,-0.569,-0.066,-0.945,-2.427,-1.107,-1.015
13.022,-0.566,-0.065,-0.946,-2.336,-1.023,-0.107
13.075,-0.578,-0.062,-0.918,-3.168,-1.458,-1.481
13.127,-0.571,-0.063,-0.928,-3.008,-0.611,-2.756
13.18,-0.562,-0.073,-0.943,-2.649,-0.924,-1.481
13.234,-0.569,-0.07,-0.926,-2.237,-0.359,2.313
13.286,-0.578,-0.072,-0.924,-2.695,-1.702,-3.389
13.339,-0.57,-0.067,-0.933,-2.42,0.176,1.71
13.389,-0.565,-0.047,-0.944,-2.176,-0.176,2.687
13.442,-0.574,-0.069,-0.929,-2.725,-3.29,-5.962
13.495,-0.573,-0.08,-0.933,-2.962,-1.695,-4.336
13.548,-0.569,-0.066,-0.943,-2.328,1.893,7.008
13.598,-0.563,-0.089,-0.93,-2.931,-3.298,-6.435
13.651,-0.585,-0.065,-0.925,-2.664,-1.252,-1.328
13.705,-0.566,-0.074,-0.933,-2.611,1.511,5.847
13.756,-0.563,-0.073,-0.94,-3.023,-2.55,-4.649
13.809,-0.581,-0.07,-0.923,-2.725,-1.29,-1.229
13.861,-0.573,-0.078,-0.927,-2.908,-0.427,0.176
13.914,-0.57,-0.071,-0.934,-2.763,-0.366,0.71
13.966,-0.569,-0.07,-0.924,-2.71,-1.389,-1.389
14.019,-0.567,-0.073,-0.927,-2.718,-1.137,-1.305
14.072,-0.566,-0.068,-0.934,-2.985,-0.565,0.351
14.124,-0.569,-0.074,-0.932,-2.702,-0.847,-0.16
14.177,-0.568,-0.063,-0.919,-2.702,-1.221,-0.939
14.23,-0.362,1.212,-0.99,-11.954,-14.649,6.473
14.283,-0.783,-0.154,-0.825,26.496,-65.214,81.534
14.338,-0.678,0.009,-0.816,23.924,-34.099,-30.947
14.391,-0.799,0.111,-0.737,-26.641,-70.008,-23.855
14.446,-1.028,-0.294,-0.928,-10.389,-137.328,-113.496
14.504,-1.586,0.828,-1.848,-153.84,-250.137,37.756
14.561,-1.513,-0.18,-1.441,-180.473,-250.137,179.985
14.619,0.905,-1.284,-0.06,-96.336,-250.137,250.13
14.675,1.315,-0.37,0.788,119.359,0.634,-169.809
14.728,-0.069,-0.212,-0.203,88.756,250.13,-228.198
14.784,-1.748,0.014,-0.972,108.481,250.13,-250.137
14.84,-1.359,0.152,-0.826,112.664,232.519,-115.481
14.897,-0.908,-0.169,-0.799,38.275,147.481,-20.137
14.952,-0.876,-0.141,-0.834,8.176,96.802,-1.511
15.004,-0.762,-0.166,-0.958,5.458,55.435,31.374
15.055,-0.644,-0.146,-0.78,-11.794,20.221,29.672
15.11,-0.638,-0.153,-0.855,-11.977,19.611,9.504
15.163,-0.6,-0.162,-0.814,-6.29,19.534,-9.168
15.216,-0.616,-0.163,-0.901,-7.313,14.16,37.359
15.269,-0.556,-0.151,-0.921,-3.405,1.496,8.053
15.32,-0.567,-0.041,-0.921,-11.214,26.015,17.115
15.374,-0.513,-0.166,-0.979,-16.458,29.198,29.267
15.428,-0.167,-0.043,-0.93,-3.893,-94.489,-139.886
15.484,-0.691,-0.179,-0.897,-2.076,-4.374,-17.733
15.539,-0.592,-0.156,-0.925,-4.489,5.908,25.046
15.59,-0.552,-0.11,-0.929,-3.84,-2.023,-1.466
15.643,-0.584,-0.096,-0.918,-2.809,-0.16,0.664
15.695,-0.584,-0.107,-0.904,-3.328,-0.672,0.718
15.748,-0.575,-0.102,-0.924,-2.435,-0.74,-0.229
15.801,-0.575,-0.1,-0.921,-2.481,-0.824,0.221
15.852,-0.579,-0.111,-0.913,-2.496,-0.855,0.115
15.904,-0.579,-0.104,-0.918,-2.588,-0.977,0.015
15.957,-0.583,-0.101,-0.922,-2.527,-0.817,0.198
16.009,-0.576,-0.103,-0.914,-2.634,-0.771,-0.023
16.061,-0.584,-0.1,-0.917,-2.511,-0.893,0.153
16.113,-0.576,-0.099,-0.922,-2.588,-0.954,0.053
16.165,-0.58,-0.096,-0.914,-2.603,-0.679,0.13
16.218,-0.583,-0.102,-0.914,-2.473,-0.939,-0.099
16.271,-0.58,-0.099,-0.908,-2.84,-0.687,-0.183
16.323,-0.582,-0.105,-0.921,-2.603,-0.878,-0.084
16.376,-0.582,-0.102,-0.918,-2.611,-0.817,0.153
16.429,-0.576,-0.105,-0.915,-2.702,-0.84,-0.092
16.482,-0.584,-0.103,-0.918,-2.71,-0.885,-0.389
16.535,-0.581,-0.105,-0.914,-2.802,-0.756,-0.008
16.587,-0.578,-0.104,-0.923,-2.725,-0.74,0.076
16.64,-0.578,-0.101,-0.917,-2.733,-0.84,-0.344
16.693,-0.579,-0.102,-0.915,-2.679,-1.069,-0.573
16.746,-0.58,-0.105,-0.916,-2.756,-0.802,-0.084
16.799,-0.576,-0.104,-0.925,-2.794,-0.954,-0.405
16.851,-0.579,-0.095,-0.919,-2.481,-1.015,-0.046
16.905,-0.584,-0.096,-0.922,-2.809,-0.71,-0.321
16.958,-0.579,-0.101,-0.91,-2.771,-0.748,-0.275
17.011,-0.578,-0.096,-0.914,-2.725,-0.863,-0.427
17.064,-0.577,-0.107,-0.93,-2.687,-0.84,-0.206
17.117,-0.578,-0.1,-0.914,-2.611,-0.878,0.206
17.169,-0.577,-0.101,-0.916,-2.542,-0.802,-0.374
17.222,-0.587,-0.103,-0.919,-2.634,-0.924,-0.443
17.275,-0.581,-0.1,-0.915,-2.679,-0.916,-0.023
17.329,-0.579,-0.102,-0.917,-2.771,-0.786,-0.305
17.381,-0.576,-0.104,-0.918,-2.748,-0.908,-0.45
17.434,-0.576,-0.099,-0.923,-2.718,-0.962,-0.099
17.487,-0.578,-0.098,-0.922,-2.908,-1.046,-0.42
17.541,-0.581,-0.102,-0.912,-2.626,-0.809,-0.176
17.593,-0.577,-0.096,-0.915,-2.817,-0.832,-0.244
17.646,-0.586,-0.103,-0.922,-2.832,-0.969,-0.382
17.699,-0.579,-0.104,-0.913,-2.763,-0.885,-0.206
17.753,-0.583,-0.106,-0.923,-2.74,-0.893,-0.55
17.806,-0.58,-0.099,-0.917,-2.733,-0.855,-0.275
17.858,-0.577,-0.099,-0.919,-2.786,-0.71,-0.145
17.911,-0.582,-0.1,-0.919,-2.786,-0.817,-0.634
17.965,-0.578,-0.105,-0.916,-2.794,-0.977,-0.237
18.018,-0.578,-0.1,-0.919,-2.71,-0.771,-0.122
18.071,-0.58,-0.1,-0.919,-2.809,-0.931,-0.504
18.123,-0.581,-0.101,-0.917,-2.725,-0.802,-0.29
18.177,-0.583,-0.102,-0.919,-2.725,-0.939,-0.359
18.23,-0.58,-0.104,-0.925,-2.626,-0.771,-0.405
18.283,-0.579,-0.101,-0.919,-2.786,-0.718,-0.29
18.336,-0.579,-0.103,-0.931,-2.634,-0.809,-0.252
18.389,-0.581,-0.101,-0.919,-2.573,-0.824,-0.168
18.442,-0.579,-0.101,-0.917,-2.626,-1.061,-0.573
18.495,-0.585,-0.101,-0.913,-2.847,-0.992,-0.282
18.548,-0.574,-0.101,-0.91,-2.756,-0.885,-0.374
18.602,-0.58,-0.098,-0.913,-2.824,-1.168,-0.649
18.654,-0.582,-0.1,-0.913,-2.847,-0.809,-0.26
