t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
1.981,-0.2500,0.1094,-0.1211,3,0.2989,0.7891,0.4756,-0.2484,3,0.0791,
1.991,-0.2578,0.3984,0.7461,3,0.2989,0.7891,0.4756,-0.2484,3,0.0791,
2.002,-0.5469,0.0938,0.2227,3,0.2989,0.7891,0.4756,-0.2484,3,0.0791,
2.014,-0.5469,0.0938,0.2227,3,0.2994,0.7896,0.4755,-0.2465,3,0.0786,
2.024,-0.5469,0.0938,0.2227,3,0.2993,0.7900,0.4755,-0.2455,3,0.0786,
2.034,-0.5469,0.0938,0.2227,3,0.2990,0.7903,0.4755,-0.2448,3,0.0784,
2.045,-0.5469,0.0938,0.2227,3,0.2988,0.7907,0.4753,-0.2440,3,0.0784,
2.056,0.1953,0.0859,-0.2969,3,0.2988,0.7907,0.4753,-0.2440,3,0.0784,
2.067,-0.0352,-0.0898,-0.2344,3,0.2988,0.7907,0.4753,-0.2440,3,0.0784,
2.078,-0.0352,-0.0898,-0.2344,3,0.2986,0.7911,0.4763,-0.2410,3,0.0779,
2.089,-0.0352,-0.0898,-0.2344,3,0.2983,0.7911,0.4769,-0.2401,3,0.0779,
2.100,-0.0352,-0.0898,-0.2344,3,0.2980,0.7911,0.4776,-0.2391,3,0.0776,
2.111,-0.0352,-0.0898,-0.2344,3,0.2976,0.7911,0.4781,-0.2383,3,0.0776,
2.122,-0.1836,-0.0039,0.2656,3,0.2976,0.7911,0.4781,-0.2383,3,0.0776,
2.134,-0.1836,-0.0039,0.2656,3,0.2974,0.7912,0.4789,-0.2370,3,0.0771,
2.144,-0.1836,-0.0039,0.2656,3,0.2971,0.7913,0.4794,-0.2363,3,0.0771,
2.155,-0.1836,-0.0039,0.2656,3,0.2969,0.7914,0.4797,-0.2355,3,0.0771,
2.165,0.7031,-0.0820,-0.0195,3,0.2969,0.7914,0.4797,-0.2355,3,0.0771,
2.178,0.7070,-0.0313,-0.2266,3,0.2969,0.7914,0.4797,-0.2355,3,0.0771,
2.188,0.7070,-0.0313,-0.2266,3,0.2963,0.7920,0.4798,-0.2338,3,0.0767,
2.199,0.7070,-0.0313,-0.2266,3,0.2964,0.7921,0.4798,-0.2336,3,0.0767,
2.209,0.7070,-0.0313,-0.2266,3,0.2965,0.7921,0.4799,-0.2332,3,0.0764,
2.221,0.7070,-0.0313,-0.2266,3,0.2965,0.7921,0.4800,-0.2327,3,0.0764,
2.232,-0.1055,-0.1211,-0.1836,3,0.2965,0.7921,0.4800,-0.2327,3,0.0764,
2.243,-0.1055,-0.1211,-0.1836,3,0.2961,0.7925,0.4804,-0.2310,3,0.0762,
2.253,-0.1055,-0.1211,-0.1836,3,0.2961,0.7927,0.4806,-0.2302,3,0.0759,
2.265,-0.1055,-0.1211,-0.1836,3,0.2960,0.7928,0.4808,-0.2294,3,0.0759,
2.276,-0.1055,-0.1211,-0.1836,3,0.2961,0.7928,0.4811,-0.2288,3,0.0759,
2.288,0.3711,0.0938,0.3008,3,0.2961,0.7928,0.4811,-0.2288,3,0.0759,
2.298,0.3711,0.0938,0.3008,3,0.2959,0.7930,0.4812,-0.2279,3,0.0754,
2.309,0.3711,0.0938,0.3008,3,0.2958,0.7932,0.4812,-0.2277,3,0.0754,
2.320,0.3711,0.0938,0.3008,3,0.2957,0.7932,0.4811,-0.2278,3,0.0754,
2.330,0.3711,0.0938,0.3008,3,0.2957,0.7932,0.4811,-0.2278,3,0.0752,
2.342,0.4570,0.1016,-0.1094,3,0.2957,0.7932,0.4811,-0.2278,3,0.0752,
2.353,0.4570,0.1016,-0.1094,3,0.2958,0.7931,0.4808,-0.2288,3,0.0750,
2.364,0.4570,0.1016,-0.1094,3,0.2959,0.7932,0.4803,-0.2294,3,0.0750,
2.374,0.4570,0.1016,-0.1094,3,0.2959,0.7932,0.4799,-0.2302,3,0.0750,
2.385,0.4570,0.1016,-0.1094,3,0.2959,0.7932,0.4795,-0.2309,3,0.0747,
2.397,0.0938,0.1563,-0.2773,3,0.2959,0.7932,0.4795,-0.2309,3,0.0747,
2.408,0.0938,0.1563,-0.2773,3,0.2959,0.7933,0.4787,-0.2322,3,0.0747,
2.418,0.0938,0.1563,-0.2773,3,0.2959,0.7934,0.4784,-0.2325,3,0.0745,
2.428,0.0938,0.1563,-0.2773,3,0.2960,0.7935,0.4781,-0.2328,3,0.0745,
2.440,0.0938,0.1563,-0.2773,3,0.2959,0.7936,0.4778,-0.2328,3,0.0745,
2.451,0.5703,0.2773,0.1094,3,0.2959,0.7936,0.4778,-0.2328,3,0.0745,
2.462,0.6406,0.3672,0.0742,3,0.2959,0.7936,0.4778,-0.2328,3,0.0745,
2.473,0.6406,0.3672,0.0742,3,0.2953,0.7944,0.4769,-0.2330,3,0.0740,
2.485,0.6406,0.3672,0.0742,3,0.2956,0.7943,0.4769,-0.2331,3,0.0740,
2.495,0.6523,0.3438,0.0508,3,0.2956,0.7943,0.4769,-0.2331,3,0.0740,
2.506,0.4961,0.2891,-0.1367,3,0.2956,0.7943,0.4769,-0.2331,3,0.0740,
2.516,0.4961,0.2891,-0.1367,3,0.2955,0.7944,0.4764,-0.2336,3,0.0737,
2.528,0.4961,0.2891,-0.1367,3,0.2954,0.7946,0.4761,-0.2339,3,0.0737,
2.538,0.4961,0.2891,-0.1367,3,0.2955,0.7946,0.4758,-0.2342,3,0.0737,
2.549,0.4961,0.2891,-0.1367,3,0.2957,0.7946,0.4757,-0.2345,3,0.0735,
2.561,0.4961,0.2891,-0.1367,3,0.2958,0.7944,0.4757,-0.2346,3,0.0735,
2.571,0.7188,0.4336,-0.4219,3,0.2958,0.7944,0.4757,-0.2346,3,0.0735,
2.581,0.4805,0.3828,-0.3711,3,0.2958,0.7944,0.4757,-0.2346,3,0.0735,
2.592,0.4805,0.3828,-0.3711,3,0.2964,0.7940,0.4756,-0.2357,3,0.0732,
2.604,0.4805,0.3828,-0.3711,3,0.2966,0.7938,0.4756,-0.2358,3,0.0732,
2.614,0.4805,0.3828,-0.3711,3,0.2969,0.7936,0.4757,-0.2360,3,0.0732,
2.624,0.4805,0.3828,-0.3711,3,0.2972,0.7935,0.4755,-0.2362,3,0.0730,
2.635,0.4805,0.3828,-0.3711,3,0.2975,0.7935,0.4753,-0.2365,3,0.0730,
2.647,0.3828,0.4883,-0.1875,3,0.2975,0.7935,0.4753,-0.2365,3,0.0730,
2.658,0.3828,0.4883,-0.1875,3,0.2977,0.7936,0.4747,-0.2370,3,0.0728,
2.668,0.3828,0.4883,-0.1875,3,0.2979,0.7938,0.4742,-0.2372,3,0.0728,
2.679,0.3828,0.4883,-0.1875,3,0.2979,0.7939,0.4738,-0.2374,3,0.0728,
2.690,0.1836,0.5977,-0.3438,3,0.2979,0.7939,0.4738,-0.2374,3,0.0728,
2.701,0.1367,0.6836,-0.2188,3,0.2979,0.7939,0.4738,-0.2374,3,0.0728,
2.711,0.1367,0.6836,-0.2188,3,0.2982,0.7947,0.4725,-0.2371,3,0.0725,
2.722,0.1367,0.6836,-0.2188,3,0.2980,0.7952,0.4720,-0.2368,3,0.0725,
2.734,0.1367,0.6836,-0.2188,3,0.2979,0.7956,0.4716,-0.2365,3,0.0725,
2.744,0.1367,0.6836,-0.2188,3,0.2978,0.7961,0.4709,-0.2361,3,0.0725,
2.755,0.1367,0.6836,-0.2188,3,0.2977,0.7966,0.4703,-0.2358,3,0.0723,
